id,mintime
1,5055
2,483
3,7837
4,180
5,166
6,195
7,1433
8,205
9,1457
10,7339
11,7319
12,7432
13,7108
14,7181
15,7064
16,108
17,6871
18,1356
19,6394
20,6384
21,159
22,114
23,6089
24,6019
25,150
26,1616
27,102
28,1634
29,1596
30,1604
31,1626
32,97
33,6024
34,140
35,6026
36,1172
37,6027
38,6164
39,1219
40,1523
41,1600
42,1606
43,1535
44,1620
45,1601
46,1515
47,1638
48,107
49,6002
50,1242
51,150
52,1610
53,1537
54,1619
55,1536
56,138
57,6042
58,150
59,6016
60,6053
61,102
62,6045
63,6194
64,1173
65,6094
66,172
67,1169
68,1618
69,1246
70,1165
71,1622
72,1608
73,1640
74,105
75,1604
76,1607
77,1505
78,1495
79,1516
80,1516
81,1649
82,102
83,1617
84,1644
85,163
86,5996
87,5979
88,6050
89,6105
90,5793
91,5964
92,6088
93,1209
94,136
95,6063
96,6022
97,97
98,130
99,1552
100,1616
