id,mintime
1,612
2,608
3,558
4,529
5,566
6,24879
7,4518
8,207
9,12719
10,509
11,3570
12,2629
13,1935
14,1944
15,11460
16,9702
17,108
18,2129
19,223
20,1603
21,187
22,186
23,1516
24,180
25,1491
26,52
27,6854
28,6649
29,6933
30,6972
31,73
32,6099
33,1012
34,1132
35,134
36,137
37,135
38,95
39,1580
40,147
41,174
42,167
43,138
44,68
45,1366
46,1382
47,1367
48,1384
49,1373
50,1372
51,1356
52,1164
53,219
54,217
55,1238
56,6369
57,1064
58,6072
59,5909
60,5953
61,5826
62,1132
63,147
64,1063
65,6097
66,1169
67,1057
68,128
69,40
70,1388
71,1024
72,134
73,1382
74,1023
75,1020
76,54
77,1391
78,1387
79,1379
80,1375
81,1391
82,127
83,1002
84,136
85,40
86,1397
87,39
88,133
89,1081
90,1380
91,1370
92,1376
93,1382
94,1375
95,1377
96,72
97,66
98,1394
99,64
100,6125
