id,mintime
1,37700
2,41706
3,41617
4,47681
5,56397
6,61368
7,68182
8,68152
9,68259
10,53383
11,43781
12,37272
13,37168
14,32049
15,29077
16,26370
17,29828
18,29014
19,29055
20,29033
21,26931
22,33622
23,33589
24,33624
25,33654
26,30905
27,29239
28,29257
29,29305
30,29352
31,26411
32,29328
33,29307
34,29297
35,35569
36,32989
37,33672
38,29455
39,29217
40,29885
41,27288
42,30052
43,30066
44,30012
45,30064
46,27073
47,30101
48,30029
49,30113
50,30142
51,27389
52,30124
53,28926
54,28863
55,28927
56,26630
57,29770
58,29678
59,30231
60,30252
61,27301
62,30260
63,30316
64,36756
65,36719
66,34170
67,33808
68,33700
69,33543
70,33539
71,30989
72,33620
73,33649
74,33747
75,33632
76,30909
77,33665
78,33667
79,33431
80,33556
81,33546
82,33532
83,33511
84,33537
85,29962
86,27017
87,29075
88,28996
89,28956
90,29039
91,26169
92,29088
93,29097
94,29063
95,29065
96,29012
97,29092
98,29080
99,29401
100,29119
