id,mintime
1,25881
2,29193
3,32146
4,33453
5,46821
6,46962
7,47217
8,47038
9,38277
10,32242
11,32179
12,27751
13,24499
14,24363
15,23110
16,22901
17,22970
18,22962
19,22948
20,22974
21,22955
22,20725
23,20738
24,20721
25,20480
26,23055
27,23076
28,22990
29,23027
30,23064
31,23069
32,23064
33,23024
34,23083
35,23102
36,23115
37,23088
38,23081
39,23119
40,23120
41,23151
42,23095
43,23111
44,23077
45,23065
46,23114
47,23143
48,23090
49,23077
50,23092
51,23083
52,20750
53,20740
54,20748
55,20470
56,20345
57,20442
58,20487
59,20469
60,20494
61,20542
62,20463
63,20399
64,20544
65,20509
66,20430
67,20486
68,20539
69,20533
70,24517
71,23241
72,24490
73,24461
74,24468
75,23144
76,23039
77,23122
78,23052
79,23074
80,23107
81,23073
82,23040
83,23151
84,23115
85,23099
86,23125
87,22938
88,23081
89,23082
90,23078
91,23099
92,23067
93,23104
94,23081
95,23043
96,23063
97,23093
98,23081
99,23044
100,23013
