id,mintime
1,18375
2,18192
3,16968
4,17147
5,17216
6,17628
7,17640
8,17473
9,17746
10,17937
11,17825
12,17786
13,17893
14,17682
15,17654
16,17634
17,17632
18,17457
19,17483
20,17620
21,17521
22,17520
23,17552
24,17618
25,17523
26,17549
27,17523
28,17696
29,17607
30,17775
31,17741
32,17710
33,17725
34,17616
35,17605
36,17234
37,17247
38,17244
39,17240
40,17213
41,17232
42,17248
43,17190
44,17152
45,17205
46,17111
47,17227
48,17254
49,17193
50,17274
51,17181
52,17190
53,17630
54,17224
55,17155
56,17214
57,17082
58,17046
59,17154
60,17218
61,17085
62,17232
63,17038
64,17091
65,17100
66,17205
67,17058
68,17077
69,17078
70,17112
71,16969
72,17031
73,17071
74,17056
75,17037
76,17101
77,17066
78,17041
79,16978
80,17086
81,17159
82,17104
83,17095
84,17149
85,17142
86,17501
87,17623
88,17601
89,17563
90,16870
91,17020
92,17108
93,17050
94,17092
95,17015
96,16896
97,16970
98,17038
99,17016
100,17123
