id,mintime
1,1055
2,918
3,1049
4,1060
5,911
6,922
7,915
8,914
9,929
10,938
11,920
12,1062
13,922
14,918
15,937
16,1066
17,1063
18,1063
19,1080
20,1063
21,1087
22,1086
23,1058
24,1116
25,1075
26,963
27,1094
28,1077
29,1095
30,934
31,322
32,319
33,313
34,266
35,264
36,273
37,316
38,313
39,277
40,316
41,266
42,267
43,268
44,274
45,282
46,314
47,313
48,313
49,292
50,311
51,314
52,315
53,347
54,348
55,349
56,349
57,348
58,350
59,351
60,351
61,348
62,349
63,349
64,349
65,351
66,348
67,350
68,350
69,350
70,350
71,350
72,350
73,311
74,312
75,355
76,348
77,355
78,354
79,355
80,353
81,354
82,312
83,311
84,311
85,311
86,354
87,311
88,311
89,311
90,317
91,315
92,354
93,353
94,309
95,310
96,352
97,269
98,310
99,309
100,312
101,310
102,311
103,311
104,312
105,312
106,312
107,313
108,352
109,352
110,352
111,352
112,352
113,309
114,311
115,267
116,316
117,352
118,352
119,352
120,352
121,352
122,354
123,353
124,354
125,353
126,354
127,352
128,354
129,354
130,352
131,353
132,352
133,353
134,353
135,353
136,288
137,273
138,352
139,352
140,352
141,352
142,352
143,352
144,322
145,348
146,321
147,350
148,352
149,313
150,351
151,351
152,354
153,352
154,351
155,353
156,297
157,298
158,302
159,305
160,305
161,301
162,339
163,341
164,340
165,340
166,304
167,305
168,340
169,340
170,303
171,340
172,302
173,301
174,304
175,296
176,302
177,260
178,306
179,305
180,298
181,301
182,302
183,303
184,300
185,304
186,303
187,298
188,298
189,302
190,303
191,302
192,302
193,301
194,297
195,298
196,296
197,298
198,302
199,292
200,326
201,292
202,293
203,328
204,329
205,292
206,328
207,295
208,327
209,327
210,297
211,293
212,329
213,329
214,328
215,329
216,329
217,328
218,292
219,328
220,328
221,330
222,329
223,329
224,329
225,327
226,328
227,327
228,328
229,327
230,327
231,292
232,290
233,295
234,291
235,291
236,296
237,292
238,297
239,296
240,291
241,328
242,328
243,328
244,292
245,287
246,282
247,282
248,319
249,319
250,321
251,321
252,321
253,321
254,282
255,320
256,321
257,279
258,320
259,320
260,321
261,320
262,319
263,321
264,321
265,319
266,319
267,284
268,321
269,320
270,245
271,246
272,246
273,244
274,245
275,245
276,245
277,255
278,282
279,248
280,245
281,243
282,281
283,249
284,283
285,246
286,244
287,244
288,281
289,243
290,245
291,245
292,245
293,244
294,244
295,245
296,251
297,246
298,243
299,247
300,244
301,249
302,243
303,243
304,248
305,280
306,249
307,245
308,244
309,283
310,251
311,244
312,242
313,281
314,244
315,237
316,237
317,236
318,238
319,236
320,236
321,237
322,238
323,237
324,236
325,239
326,237
327,240
328,241
329,238
330,237
331,238
332,237
333,237
334,237
335,238
336,237
337,237
338,236
339,237
340,237
341,228
342,231
343,233
344,230
345,261
346,264
347,229
348,263
349,229
350,263
351,229
352,230
353,263
354,229
355,230
356,230
357,232
358,263
359,228
360,230
361,229
362,229
363,229
364,228
365,229
366,237
367,230
368,230
369,235
370,262
371,230
372,229
373,228
374,229
375,226
376,231
377,229
378,231
379,231
380,229
381,232
382,228
383,231
384,229
385,262
386,234
387,228
388,230
389,227
390,229
391,233
392,232
393,228
394,262
395,228
396,228
397,231
398,230
399,229
400,232
401,230
402,225
403,225
404,224
405,227
406,226
407,225
408,228
409,231
410,262
411,229
412,262
413,224
414,225
415,226
416,222
417,255
418,230
419,261
420,225
421,223
422,253
423,253
424,253
425,253
426,223
427,254
428,225
429,224
430,255
431,255
432,257
433,252
434,257
435,225
436,256
437,256
438,221
439,256
440,251
441,257
442,254
443,234
444,222
445,255
446,223
447,227
448,226
449,221
450,224
451,224
452,226
453,229
454,225
455,226
456,224
457,255
458,223
459,254
460,223
461,226
462,226
463,256
464,224
465,225
466,223
467,226
468,224
469,255
470,257
471,257
472,226
473,255
474,257
475,226
476,255
477,257
478,223
479,257
480,228
481,256
482,224
483,255
