id,mintime
1,183
2,168
3,131
4,2238
5,1662
6,7409
7,101
8,2035
9,1677
10,112
11,121
12,120
13,1803
14,7116
15,6755
16,6850
17,6593
18,6571
19,1285
20,160
21,6323
22,6160
23,6146
24,133
25,1623
26,1474
27,6155
28,1736
29,1793
30,50
31,9079
32,8987
33,79
34,1754
35,1739
36,1717
37,1696
38,1658
39,1699
40,52
41,1805
42,1568
43,1561
44,1604
45,1573
46,1595
47,1606
48,1617
49,1579
50,1622
51,1603
52,1599
53,1621
54,45
55,1572
56,1584
57,1571
58,1562
59,48
60,44
61,1563
62,1586
63,1599
64,1618
65,1613
66,1592
67,52
68,1810
69,61
70,1605
71,1566
72,1573
73,58
74,43
75,1798
76,1581
77,1567
78,67
79,1602
80,1589
81,43
82,1795
83,1595
84,1593
85,1624
86,46
87,1797
88,1563
89,1568
90,1582
91,1593
92,1611
93,1568
94,42
95,42
96,8263
97,8232
98,8247
99,8221
100,8243
101,8326
102,8330
103,8328
104,8315
105,8216
106,1784
107,44
108,44
109,1801
110,1575
111,1600
112,1582
113,1565
114,45
115,1802
116,1575
117,1586
118,1561
119,1620
120,1602
121,47
122,43
123,43
124,42
125,42
126,8283
127,8304
128,8328
129,8222
130,8326
131,8255
132,8236
133,8350
134,8189
135,8334
136,8245
137,8275
138,8217
139,8599
140,8294
141,8334
142,8320
143,8356
144,43
145,1796
146,1603
147,42
148,1594
149,1573
150,1580
151,1595
152,1581
153,59
154,1804
155,1578
156,1606
157,8254
158,8325
159,8185
160,58
161,1577
162,1595
163,1559
164,1568
165,1615
166,1569
167,1603
168,1623
169,1581
170,1591
171,1585
172,1605
173,1568
174,45
175,43
176,43
177,44
178,1600
179,1568
180,1595
181,1621
182,1609
183,1616
184,61
185,1571
186,1618
187,1571
188,1604
189,1618
190,1589
191,43
192,1797
193,1594
194,1601
195,59
196,8240
197,8240
198,8268
199,8409
200,8284
201,8189
202,8245
203,8366
204,8275
205,8366
206,8296
207,8227
208,8205
209,8325
210,1867
211,8322
212,1635
213,1577
214,1560
215,1609
216,1567
217,1578
218,1584
219,1602
220,41
221,1587
222,1605
223,60
224,54
225,8245
226,8241
227,8221
228,46
229,43
230,53
231,43
232,44
233,8179
234,8221
235,8319
236,8323
237,8206
238,8311
239,8371
240,8226
241,8371
242,8290
243,8324
244,8331
245,8317
246,8255
247,8337
248,8267
249,8285
250,8267
251,1846
252,52
253,1606
254,1558
255,1563
256,1568
257,1562
258,1571
259,1573
260,42
261,1605
262,1597
263,1565
264,1573
265,1577
266,1595
267,8291
268,8225
269,8222
270,8202
271,8332
272,8262
273,8309
274,8290
275,6160
276,91
277,6080
278,151
279,6097
280,6028
281,144
282,6188
283,6100
284,6054
285,156
286,1330
287,6109
288,6117
289,5117
290,6136
291,6169
292,6064
293,1246
294,1617
295,1220
296,6236
297,6249
298,6029
299,107
300,1641
301,1507
302,197
303,6137
304,160
305,1637
306,1634
307,1657
308,104
309,1651
310,1668
311,1684
312,149
313,144
314,1641
315,1641
316,1652
317,1656
318,1630
319,1659
320,1657
321,1615
322,114
323,157
324,6125
325,1235
326,97
327,1633
328,1656
329,1353
330,1654
331,102
332,6112
333,6119
334,6207
335,6149
336,170
337,100
338,125
339,1669
340,1636
341,1633
342,1644
343,1622
344,1550
345,1605
346,111
347,1613
348,1623
349,1613
350,1235
351,6025
352,6091
353,6211
354,1641
355,1620
356,1586
357,1608
358,1614
359,1612
360,1614
361,1608
362,96
363,1625
364,1242
365,1625
366,1635
367,94
368,1610
369,1611
370,1546
371,1640
372,1644
373,1618
374,1611
375,1611
376,1558
377,144
378,1194
379,1613
380,1607
381,1639
382,1548
383,1612
384,1604
385,1213
386,6197
387,6053
388,1175
389,1617
390,1612
391,137
392,6037
393,6337
394,6121
395,6228
396,1190
397,1639
398,132
399,6098
400,1400
401,1653
402,161
403,6054
404,6125
405,1680
406,1670
407,1701
408,1674
409,1645
410,1658
411,151
412,171
413,1654
414,1322
415,6062
416,6141
417,6178
418,1240
419,6080
420,90
421,1680
422,1631
423,96
424,1245
425,6085
426,6119
427,1247
428,6119
429,6208
430,112
431,1612
432,1622
433,1618
434,113
435,1628
436,1653
437,1687
438,1666
439,1672
440,1695
441,1675
442,1703
443,1658
444,1669
445,1696
446,1592
447,1601
448,1605
449,1589
450,1569
451,1606
452,1593
453,1582
454,1594
455,1583
456,1570
457,1601
458,1614
459,1610
460,44
461,43
462,42
463,42
464,41
465,8216
466,44
467,1804
468,1566
469,1582
470,1564
471,1599
472,1594
473,1603
474,1594
475,1572
476,1608
477,1598
478,1609
479,1587
480,1599
481,1576
482,1597
483,1590
484,1588
485,1565
486,1595
487,1585
488,43
489,1797
490,1580
491,1613
492,1600
493,1619
494,1625
495,1605
496,1597
497,1604
498,1600
499,1613
500,1602
501,8373
502,8239
503,8336
504,8242
505,8337
506,8344
507,8349
508,8301
509,8191
510,8200
511,39
512,1589
513,1576
514,1569
515,1601
516,1594
517,1574
518,1616
519,1567
520,1590
521,1653
522,8255
523,8233
524,8336
525,8195
526,8312
527,1586
528,1578
529,77
530,1566
531,1588
532,1569
533,1596
534,45
535,1809
536,1575
537,1575
538,1617
539,1607
540,1568
541,1593
542,1602
543,1585
544,1568
545,1571
546,57
547,1887
548,1563
549,1608
550,1627
551,52
552,1804
553,1600
554,1605
555,1576
556,1596
557,1601
558,1613
559,1579
560,1603
561,1567
562,8323
563,8239
564,8320
565,8229
566,8336
567,8275
568,8230
569,8227
570,52
571,1797
572,1577
573,1574
574,1619
575,1598
576,57
577,1712
578,8249
579,8216
580,8322
581,8203
582,8270
583,8209
584,8242
585,8323
586,8235
587,8308
588,47
589,44
590,43
591,8378
592,8390
593,8857
594,8369
595,8305
596,8355
597,8323
598,8280
599,8349
600,8335
601,8334
602,8336
603,8201
604,8286
605,8333
606,8804
607,8826
608,8871
609,8910
610,8714
611,8785
612,1925
613,1677
614,1667
615,1574
616,1601
617,1594
618,1593
619,1574
620,46
621,43
622,45
623,1588
624,1584
625,1596
626,1583
627,1588
628,1570
629,1617
630,1584
631,1578
632,1615
633,1628
634,1602
635,1585
636,45
637,1796
638,1602
639,1581
640,44
641,43
642,42
643,42
644,43
645,42
646,42
647,8379
648,8306
649,8310
650,8344
651,8330
652,8367
653,8377
654,8368
655,8276
656,8286
657,8268
658,8221
659,8264
660,8304
661,6090
662,6067
663,6127
664,1655
665,1529
666,1604
667,1610
668,1637
669,1535
670,1605
671,1537
672,145
673,6119
674,6243
675,6065
676,6132
677,6061
678,1208
679,106
680,1533
681,1251
682,1614
683,1619
684,1541
685,1641
686,1662
687,1523
688,1545
689,1605
690,1604
691,1602
692,1188
693,139
694,6052
695,6260
696,6129
697,6304
698,6051
699,122
700,2590
701,99
702,6083
703,6042
704,140
705,1551
706,1242
707,6120
708,6108
709,6004
710,6104
711,6069
712,6163
713,6074
714,1233
715,1525
716,1508
717,1642
718,1618
719,1252
720,1609
721,1621
722,159
723,106
724,147
725,1606
726,106
727,1615
728,1664
729,1602
730,141
731,6049
732,6067
733,6102
734,6034
735,6121
736,6032
737,6054
738,6082
739,6116
740,6140
741,6176
742,6104
743,6093
744,6209
745,6082
746,6099
747,6094
748,6112
749,6088
750,6188
751,6100
752,1240
753,1285
754,1615
755,1600
756,1604
757,1632
758,1624
759,1620
760,1651
761,1642
762,1205
763,151
764,6101
765,6114
766,6172
767,6103
768,6082
769,6141
770,4718
771,6059
772,6054
773,6177
774,1284
775,1604
776,1537
777,1603
778,1616
779,1618
780,1612
781,1605
782,1613
783,1545
784,1614
785,1657
786,1616
787,1599
788,1601
789,1535
790,1640
791,1597
792,150
793,1631
794,1612
795,1648
796,1603
797,1607
798,1608
799,151
800,219
801,1681
802,1607
803,1615
804,1603
805,1600
806,1598
807,1610
808,1615
809,1656
810,1602
811,1635
812,1602
813,1620
814,1629
815,1667
816,104
817,6074
818,6062
819,6070
820,6023
821,6177
822,152
823,6138
824,6131
825,6104
826,6072
827,6083
828,6085
829,1227
830,1606
831,1647
832,1547
833,1616
834,1603
835,1262
836,104
837,1611
838,1598
839,1645
840,106
841,1620
842,166
843,6082
844,6045
845,6087
846,146
847,1677
848,1355
849,114
850,143
851,1538
852,1525
853,1605
854,1601
855,147
856,6270
857,6147
858,6248
859,6186
860,1211
861,1289
862,1605
863,1629
864,1615
865,1601
866,104
867,6101
868,6091
869,6092
870,6101
871,6042
872,6078
873,1225
874,1599
875,1613
876,1654
877,1635
878,1615
879,150
880,148
881,6249
882,6294
883,150
884,1223
885,1629
886,1607
887,1627
888,1608
889,1608
890,1613
891,1675
892,149
893,1542
894,1619
895,1648
896,160
897,1609
898,1678
899,1633
900,1603
901,200
902,6188
903,6099
904,1280
905,143
906,6107
907,5849
908,6145
909,1265
910,1205
911,1236
912,6305
913,5961
914,136
915,6310
916,6144
917,6093
918,6195
919,87
920,6030
921,6060
922,6107
923,241
924,1537
925,1615
926,1608
927,140
928,1215
929,169
930,6053
931,6152
932,147
933,6103
934,6063
935,6057
936,6113
937,1277
938,6219
939,1237
940,1665
941,1637
942,1617
943,1617
944,1541
945,1602
946,1600
947,1609
948,109
949,1549
950,1627
951,1634
952,1624
953,1612
954,1610
955,103
956,102
957,1649
958,1445
959,1634
960,153
961,6074
962,1571
963,6239
964,6186
965,152
966,1232
967,287
968,153
969,6251
970,6054
971,6046
972,6097
973,138
974,6103
975,1184
976,6163
977,6100
978,6149
979,6214
980,142
981,1620
982,1636
983,1633
984,1608
985,1654
986,1606
987,1650
988,219
989,1610
990,1606
991,74
992,1609
993,1372
994,1207
995,6223
996,6138
997,6039
998,6100
999,6230
1000,6096
