id,mintime
1,25149
2,27959
3,27990
4,27875
5,27922
6,27915
7,27817
8,27852
9,27792
10,27775
11,27779
12,27795
13,27755
14,27781
15,27802
16,27871
17,27766
18,27830
19,27948
20,24073
21,24052
22,21107
23,21071
24,20408
25,20431
26,20449
27,20381
28,20327
29,20439
30,20345
31,20432
32,20386
33,20430
34,20364
35,20356
36,20407
37,20442
38,20439
39,20434
40,20435
41,20466
42,20488
43,20413
44,20379
45,20405
46,20387
47,20414
48,20435
49,20440
50,20422
51,20437
52,20388
53,20435
54,20397
55,20411
56,20392
57,20453
58,20428
59,20325
60,20431
61,20390
62,20413
63,20384
64,20466
65,20414
66,20369
67,20409
68,20464
69,20446
70,20439
71,20448
72,20435
73,20475
74,20386
75,20412
76,20436
77,20429
78,20264
79,20411
80,20418
81,20988
82,20951
83,20362
84,20375
85,20364
86,20299
87,20337
88,20362
89,20372
90,20409
91,20327
92,20321
93,20337
94,20375
95,20224
96,20351
97,20345
98,20334
99,20393
100,20370
101,20406
102,20340
103,20388
104,20355
105,20349
106,20353
107,20349
108,20335
109,20367
110,20372
111,20328
112,20325
113,20334
114,20346
115,20267
116,20415
117,20337
118,20376
119,20395
120,20390
121,20376
122,20379
123,20388
124,20387
125,20377
126,20400
127,20415
128,20415
129,20406
130,20388
131,20426
132,20379
133,20402
134,20374
135,20419
136,20425
137,20387
138,20416
139,20462
140,20473
141,20401
142,20415
143,20387
144,20388
145,20375
146,20257
147,20394
148,20400
149,20385
150,20334
151,20442
152,20442
153,20393
154,20448
155,20398
156,20466
157,20424
158,20417
159,20376
160,20453
161,20440
162,20473
163,20999
164,21002
165,20380
166,20385
167,20366
168,20387
169,20396
170,20340
171,20291
172,20319
173,20345
174,20308
175,20373
176,20387
177,20284
178,20365
179,20288
180,20349
181,20326
182,20344
183,20347
184,20347
185,20359
186,20314
187,20350
188,20328
189,20319
190,20370
191,20338
192,20383
193,20355
194,20314
195,20332
196,20351
197,20323
198,20371
199,20360
200,20361
201,20381
202,20412
203,20358
204,20171
205,20328
206,20371
207,20377
208,20402
209,20341
210,20251
211,20366
212,20282
213,20340
214,20340
215,20339
216,20322
217,20390
218,20377
219,20335
220,20390
221,20384
222,20374
223,20394
224,20349
225,20387
226,20372
227,20360
228,20319
229,20377
230,20331
231,20394
232,20350
233,20347
234,20109
235,20338
236,20337
237,20345
238,20360
239,20349
240,20366
241,20257
242,20321
243,20391
244,20360
245,20396
246,20371
247,20347
248,20381
249,20369
250,20413
251,20392
252,20404
253,20360
254,20415
255,20359
256,20390
257,20370
258,20419
259,20380
260,20372
261,20381
262,20399
263,20352
264,20402
265,21078
266,20373
267,21010
268,20940
269,20929
270,20907
271,20330
272,20384
273,20356
274,20411
275,20352
276,20362
277,20315
278,20361
279,20366
280,20330
281,20372
282,20359
283,20385
284,20392
285,20390
286,20377
287,20341
288,20388
289,20367
290,20321
291,20398
292,20299
293,20403
294,20432
295,20384
296,20406
297,20285
298,20432
299,20329
300,20345
301,20424
302,20449
303,20444
304,20398
305,20401
306,20431
307,20438
308,20451
309,20418
310,20264
311,20363
312,20303
313,20313
314,20399
315,20388
316,20364
317,20427
318,20395
319,20351
320,20397
321,20367
322,20389
323,20397
324,20422
325,20374
326,20378
327,20437
328,20441
329,20372
330,20375
331,20417
332,20313
333,20383
334,20404
335,20393
336,20423
337,20362
338,20381
339,20390
340,20384
341,20363
342,20418
343,20340
344,20364
345,20385
346,20433
347,20383
348,20402
349,20307
350,20412
351,20405
352,20417
353,20436
354,20438
355,20405
356,20400
357,20452
358,20414
359,20419
360,20401
361,20354
362,20422
363,20384
364,20428
365,20431
366,20393
367,20396
368,20406
369,20415
370,20381
371,20404
372,20276
373,20316
374,20407
375,20378
376,20393
377,20362
378,20372
379,20394
380,20300
381,20414
382,20406
383,20410
384,20383
385,20390
386,20357
387,20254
388,20368
389,20375
390,20425
391,20399
392,20409
393,20412
394,20417
395,20394
396,20401
397,20425
398,20346
399,20386
400,20400
401,20366
402,20726
403,21095
404,21102
405,20334
406,20427
407,20446
408,20422
409,20399
410,20432
411,20432
412,20459
413,20447
414,20410
415,20403
416,20417
417,20427
418,20412
419,20462
420,20142
421,20416
422,20392
423,20404
424,20430
425,20420
426,20395
427,20412
428,20435
429,20414
430,20393
431,20385
432,20462
433,20462
434,20405
435,20454
436,20454
437,20444
438,20445
439,20437
440,20419
441,20365
442,20424
443,20456
444,20458
445,20420
446,20478
447,20484
448,20460
449,20512
450,20932
451,20829
452,20270
453,20217
454,20251
455,20270
456,20241
457,20291
458,20281
459,20272
460,20279
461,20301
462,20320
463,20315
464,20220
465,20287
466,20272
467,20187
468,20295
469,20363
470,20267
471,20299
472,19954
473,20330
474,20279
475,20334
476,20277
477,23076
478,23176
479,23206
480,23195
481,23222
482,23280
483,23216
484,23219
485,23218
486,23219
487,23227
488,20749
489,20716
490,20715
491,20430
492,20484
493,21062
494,21097
495,21112
496,21129
497,21073
498,21115
499,21094
500,21081
501,21072
502,21079
503,21102
504,21074
505,21100
506,21102
507,21083
508,21118
509,21108
510,21032
511,21092
512,21062
513,21104
514,21041
515,21042
516,21064
517,21056
518,21070
519,21059
520,20530
521,20425
522,20431
523,20430
524,20410
525,20427
526,20389
527,20419
528,20427
529,20439
530,20408
531,20455
532,20467
533,20409
534,20466
535,20411
536,20394
537,20398
538,20408
539,20375
540,20434
541,20424
542,20317
543,20250
544,20198
545,20169
546,20420
547,20644
548,20416
549,20378
550,20376
551,20319
552,20421
553,20415
554,20416
555,20389
556,20430
557,20349
558,20396
559,20369
560,20349
561,20390
562,20438
563,20395
564,20365
565,20395
566,20371
567,20369
568,20370
569,20326
570,20388
571,20386
572,20317
573,20325
574,20391
575,20398
576,20421
577,20374
578,20402
579,20364
580,20391
581,20388
582,20369
583,20360
584,20353
585,20332
586,20402
587,20350
588,20340
589,20333
590,20343
591,20378
592,20293
593,20360
594,20385
595,20379
596,20402
597,20386
598,20413
599,20368
600,20409
601,20393
602,20377
603,20436
604,20409
605,20383
606,20325
607,20384
608,20375
609,20353
610,20391
611,20366
612,20395
613,20388
614,20423
615,20360
616,20337
617,20404
618,20391
619,20403
620,20431
621,20426
622,20370
623,20360
624,20370
625,20392
626,20405
627,20361
628,20402
629,20394
630,20402
631,20413
632,20351
633,20371
634,21148
635,20432
636,20444
637,20407
638,20429
639,20483
640,20479
641,20447
642,20554
643,20527
644,20522
645,20458
646,20455
647,20452
648,20484
649,20491
650,20508
651,20936
652,21044
653,20406
654,20334
655,20393
656,20426
657,20398
658,20247
659,20336
660,20394
661,20393
662,20403
663,21001
664,21067
665,21017
666,20997
667,20995
668,20995
669,20931
670,20926
671,20922
672,20938
673,20954
674,20932
675,20949
676,20919
677,20936
678,20912
679,20911
680,20922
681,20935
682,20962
683,20966
684,20963
685,20934
686,20949
687,20952
