id,mintime
1,43082
2,39250
3,38059
4,36152
5,35592
6,33190
7,33569
8,31067
9,29504
10,29548
11,26332
12,29217
13,29233
14,29198
15,29158
16,26222
17,29181
18,29184
19,29375
20,35562
21,32810
22,33467
23,33529
24,33525
25,30722
26,27286
27,29493
28,29418
29,29489
30,35541
31,32544
32,33354
33,33449
34,33524
35,33484
36,30999
37,33416
38,33393
39,33493
40,33486
41,30809
42,30330
43,29448
44,29400
45,29410
46,29463
47,29449
48,33421
49,33564
50,33460
51,30863
52,33414
53,33479
54,30190
55,30258
56,27325
57,29444
58,29468
59,29464
60,29488
61,26485
62,29412
63,29493
64,29463
65,29380
66,26811
67,29570
68,29524
69,29547
70,29509
71,26602
72,29593
73,29543
74,29495
75,29518
76,26722
77,29436
78,29583
79,33482
80,33480
81,30975
82,33596
83,33566
84,30425
85,30262
86,27349
87,29395
88,29339
89,29476
90,29386
91,26490
92,29451
93,29399
94,29417
95,29350
96,26865
97,29429
98,29424
99,29387
100,29441
101,26568
102,29419
103,29438
104,29458
105,29385
106,26701
107,29416
108,29426
109,35081
110,35092
111,32124
112,35027
113,33134
114,33112
115,33154
116,30353
117,33007
118,33040
119,33037
120,33087
121,30139
122,30025
123,35662
124,33632
125,33666
126,33603
127,33572
128,33455
129,33484
130,33585
131,31116
132,33546
133,33513
134,33572
135,33500
136,30859
137,33532
138,33458
139,33536
140,33559
141,30820
142,32036
143,29632
144,29300
145,29406
146,26645
147,29410
148,29434
149,29349
150,29431
151,26449
152,29433
153,29594
154,29431
155,29332
156,26396
157,29543
158,29402
159,29393
160,29559
161,26574
162,29357
163,29295
164,29738
165,33456
166,31236
167,33528
168,33481
169,33516
170,33529
171,30873
172,33447
173,30156
174,30174
175,29499
176,26673
177,29297
178,29269
179,29383
180,29397
181,32587
182,35498
183,33370
184,33532
185,33497
186,33440
187,33383
188,33474
189,33472
190,33412
191,33519
192,33471
193,33486
194,33542
195,33484
196,31007
197,33411
198,33432
199,33449
200,33481
201,30473
202,33549
203,33567
204,33428
205,33442
206,30870
207,33496
208,33376
209,33438
210,33488
211,30497
212,33478
213,33465
214,29304
215,29327
216,26486
217,29069
218,29039
219,29014
220,29007
221,26272
222,28988
223,29010
224,28913
225,29066
226,26220
227,29057
228,28961
229,28919
230,29039
231,26862
232,28994
233,29030
234,29019
235,28971
236,26123
237,29024
238,28982
239,29038
240,29087
241,26127
242,29019
243,29088
244,29150
245,29043
246,26267
247,29049
248,28995
249,29052
250,29063
251,26430
252,29065
253,29071
254,29047
255,29042
256,29015
257,29066
258,29082
259,29016
260,29035
261,26398
262,29117
263,29008
264,29017
265,29116
266,26137
267,29021
268,29065
269,29057
270,29056
271,26219
272,29048
273,29062
274,29121
275,29072
276,26767
277,29073
278,29045
279,29053
280,28964
281,26369
282,28941
283,29028
284,29038
285,29028
286,26333
287,29024
288,29030
289,29068
290,28965
291,27045
292,29077
293,29025
294,29067
295,29089
296,26401
297,29122
298,29077
299,29104
300,29124
301,26314
302,29112
303,29064
304,29131
305,29073
306,26933
307,29157
308,29095
309,29148
310,29149
311,26107
312,29061
313,30060
314,29873
315,29147
316,26314
317,29113
318,29101
319,29047
320,29119
321,29116
322,29122
323,29099
324,30032
325,29106
326,26652
327,29125
328,29134
329,29093
330,29151
331,26493
332,29294
333,29082
334,29077
335,29116
336,26445
337,29060
338,29020
339,29051
340,29078
341,28730
342,28972
343,28992
344,29077
345,36375
346,29308
347,29297
348,29220
349,29316
350,29335
351,26465
352,29291
353,29394
354,29311
355,29302
356,26398
357,29411
358,29300
359,29307
360,29351
361,26350
362,29386
363,29140
364,29337
365,29322
366,27017
367,29230
368,29233
369,29309
370,29343
371,26587
372,29240
373,29235
374,29309
375,29259
376,26229
377,29286
378,29257
379,29235
380,29264
381,26556
382,29234
383,29281
384,29314
385,29258
386,26257
387,29476
388,29229
389,29258
390,29237
391,26545
392,29281
393,29245
394,29250
395,29176
396,26417
397,29239
398,29229
399,29203
400,29213
401,26665
402,29215
403,29318
404,29478
405,29254
406,26404
407,29233
408,29229
409,29263
410,29290
411,26225
412,29222
413,29316
414,29275
415,29323
416,29397
417,29344
418,29281
419,29240
420,29344
421,27058
422,29273
423,29290
424,29207
425,29238
426,26496
427,29291
428,29242
429,29270
430,29284
431,26428
432,29243
433,29257
434,29250
435,29302
436,26552
437,29200
438,29222
439,29267
440,29321
441,26572
442,29277
443,29240
444,29305
445,29339
446,26656
447,29301
448,29298
449,29254
450,29241
451,26173
452,29254
453,29307
454,29341
455,29320
456,26526
457,29343
458,29288
459,29297
460,29378
461,26506
462,29313
463,29305
464,29277
465,29529
466,26419
467,29145
468,29429
469,29529
470,29523
471,26442
472,29328
473,29339
474,29262
475,29346
476,29310
477,29334
478,29307
479,29328
480,29288
481,26503
482,29295
483,29262
484,29336
485,30149
486,27813
487,29061
488,29109
489,29086
490,29150
491,26233
492,29147
493,29124
494,29131
495,29072
496,26555
497,29112
498,29189
499,29093
500,29118
501,27269
502,29342
503,29297
504,29363
505,29338
506,26245
507,29314
508,29343
509,29333
510,29325
511,26328
512,29374
513,29374
514,29376
515,29320
516,26303
517,30132
518,30203
519,30185
520,30164
521,27497
522,31091
523,31105
524,31087
525,31134
526,28245
527,31231
528,31288
529,31255
530,31201
531,28331
532,31225
533,31436
534,31488
535,31519
536,28268
537,31428
538,31385
539,31371
540,31290
541,28299
542,31404
543,31395
544,31331
545,31382
546,28530
547,29555
548,29341
549,29522
550,29428
551,26850
552,29472
553,29444
554,29402
555,29439
556,26783
557,29481
558,29396
559,29454
560,29438
561,26594
562,29445
563,29377
564,29434
565,29343
566,26550
567,29398
568,29372
569,29404
570,29347
571,26474
572,29389
573,29349
574,29367
575,29347
576,26356
577,29311
578,29265
579,29293
580,29346
581,26831
582,29350
583,29373
584,29358
585,29390
586,26384
587,29271
588,29311
589,29333
590,29316
591,26439
592,29288
593,29302
594,29348
595,29366
596,26723
597,29415
598,29456
599,29421
600,29337
601,26552
602,29370
603,29305
604,29337
605,29327
606,26504
607,29378
608,29337
609,29299
610,29342
611,26473
612,29332
613,29345
614,29344
615,29386
616,26370
617,29339
618,31849
619,30090
620,30094
621,27335
622,29229
623,29272
624,29073
625,29196
626,26489
627,29217
628,29183
629,30124
630,30003
631,27165
632,30129
633,30087
634,30123
635,30109
636,27206
637,30104
638,29996
639,29907
640,30063
641,27458
642,29192
643,29187
644,29131
645,29185
646,26040
647,29901
648,30064
649,30072
650,30063
651,27256
652,29939
653,30025
654,29956
655,29944
656,26801
657,30035
658,30062
659,30058
660,30078
661,27128
662,29151
663,29159
664,29187
665,29195
666,29176
667,29217
668,29211
669,29179
670,29092
671,26024
672,29902
673,29045
674,28971
675,29016
676,26883
677,29202
678,29188
679,29215
680,29238
681,29261
682,29280
683,29261
684,29155
685,29283
686,26354
687,29283
688,29212
689,29253
690,29201
691,26331
692,29237
693,29876
694,29788
695,28983
696,26387
697,29074
698,28819
699,28908
700,29030
701,26344
702,29069
703,29077
704,29083
705,29035
706,26106
707,29001
708,29161
709,29230
710,29257
711,26305
712,29049
713,29146
714,29172
715,29142
716,26451
717,29143
718,29201
719,29092
720,29156
721,26534
722,29180
723,29161
724,29168
725,29203
726,26385
727,29188
728,29248
729,29026
730,29157
731,26137
732,29152
733,29051
734,29163
735,29151
736,26377
737,29203
738,29079
739,29131
740,29185
741,26396
742,29178
743,29137
744,29146
745,29016
746,26383
747,29151
748,28979
749,29159
750,29145
751,26163
752,29074
753,29190
754,29167
755,29211
756,27255
757,30104
758,30102
759,30046
760,30155
761,27260
762,30104
763,30090
764,30056
765,30077
766,26985
767,29278
768,29185
769,29928
770,29155
771,26583
772,29103
773,29203
774,29175
775,29027
776,29109
777,29210
778,29160
779,29121
780,29198
781,26496
782,29201
783,29089
784,29252
785,29129
786,26217
787,29127
788,29075
789,29179
790,29200
791,26062
792,29203
793,29214
794,29141
795,29068
796,26485
797,29203
798,29320
799,29239
800,29203
801,26342
802,29225
803,28872
804,29103
805,29263
806,26493
807,29237
808,29213
809,29108
810,29206
811,29208
812,29247
813,29165
814,29155
815,29177
816,26501
817,29239
818,29170
819,29003
820,29218
821,26482
822,29112
823,29095
824,29044
825,29020
826,26573
827,29034
828,29153
829,29220
830,29226
831,26463
832,29147
833,29211
834,29157
835,29029
836,26106
837,29193
838,29136
839,29211
840,30006
841,27098
842,29181
843,29196
844,29177
845,29033
846,26412
847,29142
848,29098
849,29215
850,29172
851,26488
852,29180
853,29148
854,29173
855,29222
856,26305
857,29150
858,29125
859,29095
860,29115
861,26213
862,29208
863,29111
864,29146
865,29121
866,26129
867,29183
868,29115
869,29153
870,29206
871,26261
872,29160
873,29212
874,29233
875,30117
876,27700
877,30114
878,30137
879,29312
880,29161
881,26399
882,29153
883,29036
884,29184
885,29074
886,26518
887,29067
888,29108
889,28989
890,29021
891,25969
892,29075
893,29085
894,29061
895,29121
896,29145
897,29099
898,29012
899,29118
900,29157
901,26537
902,29138
903,29020
904,28862
905,29041
906,26406
907,29078
908,29044
909,29100
910,29112
911,26108
912,29128
913,29164
914,29026
915,28997
916,26090
917,29139
918,29176
919,29122
920,29116
921,26487
922,29164
923,29082
924,29089
925,29138
926,26336
927,29057
928,29039
929,29094
930,29171
931,26107
932,29129
933,29117
934,29147
935,29135
936,26418
937,29085
938,29157
939,29124
940,29147
941,26452
942,29136
943,29039
944,29051
945,29066
946,26095
947,29179
948,29168
949,29147
950,29186
951,26329
952,29146
953,29069
954,29249
955,29856
956,27432
957,28993
958,28890
959,28934
960,29041
961,26347
962,29000
963,29125
964,28975
965,29071
966,26089
967,28981
968,29059
969,29079
970,29020
971,26168
972,29049
973,29060
974,29040
975,29106
976,26305
977,29106
978,29098
979,29160
980,29082
981,26181
982,29074
983,29100
984,29084
985,29020
986,26115
987,29044
988,29029
989,29130
990,29138
991,26294
992,29151
993,29071
994,29069
995,29148
996,29197
997,29097
998,29067
999,28976
1000,29014
